Tokens	Score
honours	4
freeway	0
appreciating	4
growing	1
abilities	2
disguise	-2
idk	-1
scream	-4
sux	-3
stinks	-2
unimportant	-3
mistake	-3
obsess	-2
ugh	-4
screamers	-3
parley	-1
failing	-5
vigor	2
jerks	-2
odd	-3
allergic	-2
outgoing	2
weirdos	-2
hesitated	-3
cheerleading	2
tough	-1
exploiting	-4
disorder	-4
idealised	4
shying	-2
boycotted	-4
douche	-3
relief	4
helper	3
fad	2
intelligently	4
protested	-1
promised	3
smiley	4
confusion	-2
flattery	1
grieves	-4
despondent	-4
bribe	-2
richest	5
warnings	-2
opportunistic	0
collision	-3
funniest	5
struggling	-4
healthy	4
relaxes	3
wiser	2
ridiculously	-3
warned	-2
horrors	-5
accept	3
innocent	3
cleared	1
prosecuted	-3
blocking	-3
distractingly	-3
wtf	-5
pained	-4
promotes	3
enthused	4
phobias	-4
casualty	-5
fame	4
dick	-5
low	-2
fascinating	5
dorky	-2
serious	0
grouchy	-4
grave	-3
grandeur	5
talent	4
amorous	4
foetus	0
justice	5
relieve	3
alright	2
satisfactorily	3
geeks	-1
whores	-6
shockers	-2
stampede	-4
worried	-2
illiteracy	-4
fantastical	4
helpful	4
beautify	5
adventure	3
greed	-4
foolish	-2
important	2
weirder	-1
phobic	-2
murders	-6
crazily	-3
toughness	0
crappy	-5
optimists	3
talents	4
hysterical	0
wonderful	5
fyi	2
bliss	5
share	2
medal	4
importance	3
gross	-4
shitting	-4
misread	-2
shaky	-2
confrontational	-3
penalty	-4
forgotten	-2
screw	-1
funny	4
drunk	-3
losing	-3
irritably	-4
tensions	-4
insensitivity	-4
confused	-3
unease	-4
arguable	-2
disagreeable	-4
frightful	-5
bravery	4
battleship	0
destroyers	-5
cheerfulness	4
impressionist	2
cover-up	-2
congratulate	4
embarrassingly	-4
fascist	-5
alarmingly	-5
obsessively	-1
blah	-1
affectionate	4
hail	0
possessive	-2
grimes	-2
allow	2
waste	-4
villain	-5
ease	3
legally	1
anti	-3
ambitious	4
vital	2
visionary	5
freezes	0
yes	4
terribly	-5
thoughtless	-4
steal	-4
limited	-2
troublesome	-5
attractive	4
puke	-5
warmest	4
nah	-1
feeling	1
lol	4
jokes	2
definite	2
fatigue	-2
justice	5
sinful	-5
villainy	-5
ruinously	-5
treasurer	1
awarding	4
lovers	5
popular	4
fatal	-5
meh	0
diviner	0
defected	-4
scare	-4
warmhearted	4
strengthens	4
upsets	-3
idealizes	4
crisis	-6
creativeness	4
frighteningly	-4
stronghold	1
favorites	4
terrorizing	-6
drag	-2
worse	-4
restricting	-3
abandonment	-5
lamentably	-3
exhilarating	4
supremely	5
derides	-2
teaser	-2
enchanted	3
stupidest	-5
created	2
dull	-4
confusing	-2
pressures	-3
amusingly	2
protects	3
neglectful	-4
defeats	-3
disorganized	-2
invulnerable	3
longingly	1
stab	-5
mad	-4
hilarious	4
damaging	-5
punish	-5
ridiculous	-3
acquitted	2
smiley	4
destroy	-5
smartest	6
prized	5
maniacs	-2
pervert	-5
isolation	-4
hak	4
stutter	-2
hero	5
heroine	5
dud	-2
harasses	-5
worsened	-4
screwballs	0
argues	-3
optimist	5
undermining	-3
failures	-4
foes	-4
inspired	4
collide	0
restoring	2
nastiness	-2
suspicious	-3
loving	5
slam	-3
adores	3
uncredited	-2
murderously	-6
burden	-4
chokes	-4
trembles	0
disorder	-4
playfully	3
succession	2
hoax	-2
glorifying	5
scumbag	-6
destroyed	-4
worthless	-4
gun	-3
stunk	-3
annoying	-4
laughable	0
liveliest	4
engaged	4
faultless	4
delicately	2
favorites	4
brave	5
dump	-3
inquisitive	1
smog	-2
adventuresome	4
curse	-5
daze	-1
poisoning	-5
bastardization	-5
sucks	-3
sucks	-3
loved	5
intelligence	4
freakishly	-2
fearing	-5
abuses	-5
sympathy	3
loyalism	2
loyalist	3
cruel	-5
accidentally	-3
kia	-6
prison	-5
greets	1
freaked	-2
cool	3
successful	5
bored	-2
excelled	4
denies	-4
frantic	-4
attacks	-4
dynamically	3
bonus	5
smother	-4
miss	-1
soulmate	5
disgraced	-4
doubt	-3
lackadaisical	-3
brighter	3
freeloaders	0
combat	-3
shock	-3
dream	2
romancing	4
profited	3
lovable	6
excellent	5
rebelled	-2
frustrated	-5
battleship	0
killed	-6
perfectionistic	1
disregarding	-2
glum	-4
droopy	-2
impression	2
backed	0
amorphous	0
shocks	-3
trickery	-2
whorehouse	-2
violation	-4
excellency	5
apologising	0
assault	-5
jackass	-4
spirit	1
disgrace	-4
empty	-2
enemies	-4
cleverly	5
good	4
arguments	-4
unmotivated	-3
persecuting	-3
weaken	-4
weakens	-3
gently	4
dithering	-1
weep	-5
swift	2
exonerate	4
ferociously	-2
furiously	-4
nurturing	4
hide	-1
suspicion	-3
loathing	-5
smugglers	-3
disappointment	-5
happiest	6
fume	-2
ferocity	-1
treasuring	4
damn	-4
riches	5
intellect	4
unfulfilled	-4
condemns	-5
dismaying	-4
nice	4
puke	-5
comedy	3
distracts	-3
swiftly	2
exaggerate	-1
tragic	-4
vulnerable	-2
odd	-3
underestimated	-2
important	2
increased	2
adventures	3
painfully	-5
polluted	-4
like	3
exclusion	-2
comprehensive	2
fu	-6
toughie	-1
dreadful	-4
kill	-6
punisher	-4
abduction	-5
top	2
cover-up	-2
punisher	-4
giddy	-1
truly	4
buoyant	2
admiral	3
anxiety	-1
benign	3
strike	-1
dehumanize	-4
uneasiness	-3
excellent	5
graveyards	-2
alarmists	-2
rewarded	4
adventurers	2
triumph	4
funny	4
shamefacedly	-4
charity	4
dizzy	-2
refusing	-4
sentimental	3
scams	-5
fire	-3
mistaken	-3
comedies	4
crushing	-3
inferiority	-2
forced	-4
ruined	-4
disagreements	-4
victims	-3
prison	-5
guilts	-3
confusing	-2
doomed	-6
bizarre	-3
admired	5
creating	2
loves	5
dazed	-1
steadfast	2
sincerely	4
surprisingly	2
killer	-6
sins	-4
romantics	4
pleasure	5
wimp	-3
defensible	2
lonely	-3
dreams	4
dearest	5
died	-5
bizarre	-3
scapegoat	-4
appeasing	2
satisfied	4
loathed	-4
badly	-4
pathetic	-5
criticizing	-3
crap	-3
favorite	4
yay	5
panicky	-3
clear	3
dullest	-4
fights	-4
tranquilizers	-1
satisfies	4
rant	-3
gag	-3
immorality	-1
merry	5
prisoners	-5
solutions	1
challenge	0
warnings	-2
straight	2
prickly	-2
dullness	-3
agonized	-4
tantrums	-3
sexy	5
fan	3
warmed	2
lost	-3
grime	-3
dreadful	-4
obsession	-3
honorable	5
adventures	3
inhibited	-1
intellect	4
sucked	-4
silliness	-2
punishes	-4
sappy	-2
tranquility	4
adversely	-2
thief	-5
compliment	4
frisky	2
thanked	4
offline	-1
escaping	0
flunky	-4
lamely	-4
humor	2
entertainment	4
terrific	4
ugly	-5
heroics	5
triumphantly	5
scares	-3
jerks	-2
faking	-4
awol	-3
stank	-4
cheered	5
excites	4
treason	-4
recession	-4
chic	2
stop	-2
greatest	6
thriller	1
slashing	-2
nicely	4
friendly	4
unsuccessfully	-4
anguishing	-5
yucky	-4
obsesses	-2
sucky	-4
trust	5
laughters	4
agitated	-4
dork	-3
infuriated	-6
rages	-4
choke	-5
stupidest	-5
angrier	-5
relaxed	4
praise	5
doubters	-3
gloriously	5
ok	2
difficulties	-2
stinkpot	-5
holiday	4
well	2
scary	-4
welcoming	4
sincere	4
abhorrent	-6
degradation	-5
imposed	0
problematical	-4
wow	5
opportunities	3
contradicted	-3
insecurity	-4
jolly	5
childish	-2
contentment	3
brilliant	5
unappreciated	-4
thanks	4
defenders	0
distractive	-3
meaningless	-4
destroying	-5
disappointingly	-4
derailed	-3
assaults	-5
gaining	4
helpers	2
heroes	5
molested	-4
promising	4
charmingly	4
flirtatiously	0
cleverest	5
smear	-3
fights	-4
free	5
freedom	6
aggravated	-4
poorest	-5
stupid	-5
festival	4
foolhardiness	-3
intellects	4
dully	-2
rescue	5
killed	-6
flop	-3
laughingly	5
infuriate	-4
bastardized	-4
unfortunate	-4
humourous	4
lousy	-5
dwellers	0
bad	-5
sinister	-5
sucks	-3
provoked	-2
flawless	5
sexy	5
profit	4
immune	2
threat	-5
ff	4
wag	0
widowed	-4
fraudulent	-4
cancelling	-2
offensiveness	-5
prosecution	-4
comforted	4
perversion	-3
perverts	-5
failing	-5
ineffectively	-3
criticising	-4
madness	-4
vile	-6
blind	-4
problem	-4
empty	-2
carefully	1
solved	2
marvel	4
lame	-4
romanticize	4
snobbishness	-2
boosted	3
disagreement	-3
teased	-2
lowered	-1
suck	-4
enlighten	5
stabs	-4
beautician	2
sentimentalism	2
tops	5
unconfirmed	-1
enthusiasm	4
wavering	-1
weirdie	-3
friendless	-3
harmony	4
virtue	4
sarcastic	-2
unhappily	-4
incentives	3
tout	-1
insecurities	-4
brilliancy	5
aggressiveness	-4
fine	2
horrendously	-4
prosecute	-4
animosity	-4
missed	-2
ambitious	4
blessed	5
frightening	-4
indecisive	-2
poisons	-5
blissful	5
trivialized	-1
wars	-5
crazes	0
inquisition	-2
impressionists	1
avoid	-2
dangerously	-4
spirit	1
entertainer	3
likeable	4
splendiferously	4
giving	3
bastardize	-5
stuck	-2
horrendous	-5
derided	-2
condemnation	-5
doa	-5
regret	-4
happily	5
forbids	-3
romance	5
escape	1
disbelieve	-2
nonsense	-4
unsavory	-4
mourned	-3
distort	-3
offensive	-4
dear	3
determination	4
honor	4
romance	5
heroines	4
scarecrows	-1
scarecrows	-1
melancholy	-4
warms	2
lousing	-2
isolates	-3
loathe	-4
strong	5
merrily	5
remarkable	5
perfectly	6
fun	5
dumbest	-5
intense	0
apocalyptic	-6
splendidly	4
murder	-6
leak	-3
credit	3
reek	-5
gleeful	5
brightness	3
stop	-2
ridiculous	-3
hard	-1
passion	4
battlefield	-3
abandoning	-3
creationism	1
jt	2
cheers	4
loom	-2
horrifies	-5
delightful	5
approval	4
haters	-4
gracefully	5
dumbed	-3
trickery	-2
outrageousness	-2
tragicomedy	0
abusers	-5
evildoers	-5
sappy	-2
glamorize	4
sentimentalize	2
whitewash	0
dynamic	3
pissoir	-2
won	5
gracious	5
help	4
blessing	4
tranquilizer	0
easily	3
teasing	0
moodiness	-3
dick	-5
humour	4
severed	-3
greatest	6
fervent	2
clouded	0
fulfills	2
livelihood	2
innocence	3
miserably	-4
sad	-4
fresh	3
uncontrollable	-3
agonizes	-5
play	3
apologise	3
avoiding	-3
waste	-4
gorgeous	6
dire	-4
abhorrent	-6
ruins	-4
chastised	-4
worse	-4
flawlessly	2
colliding	-1
admirably	5
flunks	-4
cynicism	-4
trick	0
trusting	4
screams	-2
sufferers	-5
frenzy	-3
painfully	-5
interesting	4
brooding	0
inferiors	-1
pitiless	-4
straight	2
mourning	-4
euphoric	6
truthfully	4
despairing	-5
snub	-4
brightened	4
tricks	-1
darling	5
injustice	-5
good	4
great	6
violating	-5
suffer	-5
mistaking	-2
interesting	4
depressed	-5
shocking	-4
highlight	3
ugh	-4
congratulations	5
threat	-5
hopelessness	-6
luckiest	5
inadequacies	-4
illnesses	-4
supporting	4
fired	-5
thankfully	4
ty	3
faithful	4
pressured	-2
unbiased	0
impressing	5
stress	-4
respectable	4
beauty	5
bullshit	-5
woes	-4
engaged	4
weakling	-3
confront	-1
awkward	-1
invincible	4
frights	-2
acceptable	3
kisser	4
glorify	5
special	4
repressive	-3
cries	-4
livelier	4
worst	-6
playful	4
exasperated	-4
reassured	4
mooch	-4
irreversible	-2
rapist	-7
supreme	5
toughened	0
opportune	4
ugly	-5
died	-5
no	-2
lamented	-3
free	5
commended	4
nerdier	0
serious	0
dismayed	-4
emotional	1
ached	-3
rejoiced	4
eviction	-4
charm	4
strange	-2
lowbrow	-4
defect	-3
confusing	-2
amazon	1
suckers	-5
attack	-4
crazy	-3
miserably	-4
frustrated	-5
madly	-4
danger	-5
delight	5
crash	-4
harmonic	4
blame	-3
distressed	-4
gratitude	5
giver	3
tears	-2
hating	-5
positive	5
pu	-2
tricks	-1
xp	3
poor	-4
surprise	2
delightfulness	4
exhaust	-2
amazed	4
dreams	4
urgent	2
masochists	-2
greater	3
uselessness	-3
bore	-2
masterpiece	6
screwer	-2
emptily	-2
anti	-3
entertainers	2
darlings	4
fabulous	5
miracle	5
inspiring	4
lol	4
sarcastically	-2
saved	4
scarecrow	-2
scarecrows	-1
admirable	5
terrors	-5
mischief	-3
stopping	-1
solution	3
trivialize	-2
champs	4
suspects	-3
bitch	-5
kind	5
astounds	4
cutely	3
attacked	-4
wronged	-4
funnies	3
forgiven	3
shame	-4
wowed	5
grander	4
freebie	4
damned	-3
laughter	4
destructiveness	-5
worrisome	-4
peaceably	4
popularize	3
sin	-5
improvement	4
killjoy	-4
vision	2
funeral	-3
succeed	4
horror	-5
frightfully	-4
innovative	4
giggle	4
impressionistic	3
immorally	-4
sick	-5
promiscuity	-4
negativity	-5
cheaters	-4
outrages	-5
lonesomeness	-4
harming	-5
expose	-1
grrr	-1
enchanted	3
reckless	-4
revenge	-5
humiliations	-5
evilly	-6
defer	-2
abandons	-3
abandoned	-4
ban	-5
clean	4
wealthiest	4
honest	5
funnily	4
grimness	-2
hoped	3
ironic	-1
flattered	3
dears	4
swindle	-5
trivial	0
devastated	-6
ideally	4
surely	4
punisher	-4
lover	5
freaking	-4
accepted	2
expel	-4
surprises	2
spirited	3
inspiringly	5
enthusiasm	4
vulnerability	-2
feeling	1
denied	-4
denied	-4
assassinations	-5
confrontation	-3
energy	2
tops	5
honoured	4
accusing	-1
panicking	-4
lowball	-2
legal	1
shyster	-3
yoyo	1
vivacious	4
hand	4
clueless	-3
joked	3
suicide	-6
lament	-4
vision	2
contemptuously	-5
smug	2
snobbery	-4
confrontations	-3
damningly	-4
grimace	-2
congrats	5
insulting	-4
disaster	-6
stupidity	-4
invincible	4
battled	-2
inviting	3
smugly	0
acquit	2
profitable	4
honouring	4
recommended	2
stupidity	-4
straight	2
villainies	-5
attractiveness	4
audacious	2
fearless	4
killers	-6
stupid	-5
horrible	-5
brighten	4
creative	4
gravely	-3
unaware	-2
freewheeling	1
avert	-1
like	3
beloved	5
novel	3
prosecution	-4
merited	3
molestation	-4
sobs	-5
victimizing	-5
smiles	4
inspirational	5
jewel	3
courageous	5
impressed	4
invigorate	4
weirdos	-2
suffer	-5
cried	-3
harsh	-4
suspects	-3
brutalizing	-6
scoop	1
brutally	-6
win	5
defender	1
stinkers	-2
award	5
agreeably	3
dizzy	-2
bereaving	-3
humoristic	3
liking	4
retreat	2
considerate	4
thriller	1
damages	-4
broken	-4
obnoxious	-4
delicious	5
proud	4
blockbuster	5
emotional	1
troubled	-4
scared	-4
holiday	4
sweet	4
battle	-3
beating	-4
indifferent	-2
weirdy	-2
cock	-1
sure	3
prizefighter	2
itchy	-2
cuts	-2
playing	2
ass	-5
laughed	4
miserably	-4
wickedness	-4
grins	2
resignation	-2
jerk	-3
regretting	-4
gratingly	0
cleaner	1
heh	-1
solemnly	2
tenderloin	0
admiration	5
honour	5
rapist	-7
outrageously	-2
submissive	-3
bias	-1
accidents	-3
damage	-4
limitation	-2
sincereness	4
warring	-4
conflict	-3
smile	3
masochism	-3
devilfish	-2
alarms	-2
seriously	-1
messy	-3
solid	1
whiner	-2
exploration	2
upset	-3
acceptable	3
despair	-3
ready	3
consent	2
apologized	3
virtuoso	4
mirthful	5
defeating	-3
ignorable	-2
nurtures	4
disputes	-2
bold	3
stealthily	0
flexibility	3
suspect	-2
defenselessly	-2
dehumanizes	-3
zealots	-2
honoring	5
greeted	2
frenzy	-3
nastier	-5
raped	-6
cuts	-2
lies	-4
succeeds	4
play	3
86	-3
perfectionism	3
comedically	4
overlooked	0
geeky	-1
boosts	3
brutalised	-5
doom	-4
cruelness	-5
killjoy	-4
prisoner	-5
perversions	-2
pitiably	-2
regrettably	-4
careful	1
hateful	-4
ha	3
popular	4
clears	0
lone	-2
cutes	4
god	2
wicked	-5
anxieties	-1
nervously	-1
exclude	-2
offenders	-3
tensed	-2
craziness	-3
richly	4
inconsiderate	-4
battle	-3
peacenik	2
lowlifes	-4
leave	0
credit	3
encouraging	5
encouraged	3
sob	-2
positive	5
viciously	-3
distraction	-3
playfulness	2
surprised	2
weak	-4
deceiving	-3
derail	-2
hooligans	-2
best	6
worship	2
validating	3
mindless	-4
=p	3
splendor	6
worry	-4
difficult	-3
worried	-2
cut	-2
liabilities	-2
harmonics	3
clear	3
conflict	-3
dynamics	2
smarter	4
thrillers	0
perpetrators	-2
empty	-2
empties	-1
alarm	-3
scream	-4
friendliness	4
luck	4
horrify	-5
terrify	-5
faulted	-3
nurture	3
amazing	5
applauds	3
accepts	3
thoughtfulness	4
choke	-5
clean	4
powerful	4
ghost	-3
beauteous	5
engagingly	3
dolorous	-4
lively	4
harmonies	3
fascinates	4
wow	5
exhaustion	-3
winning	5
freeman	4
warming	1
favor	4
critic	-2
innovates	4
hesitantly	-2
unbelievable	2
gravelly	-2
peacemaking	4
sarcasm	-2
pleasuring	5
fake	-4
casual	2
immortal	2
privileges	3
horrors	-5
weak	-4
share	2
handsomest	5
wellsprings	3
bolder	2
antagonisms	-2
dirty	-4
brightens	3
pathetic	-5
generously	4
gracefulness	4
interruption	-3
illegal	-5
insincerity	-3
torturous	-5
heaven	5
seditious	-4
heroically	5
easygoing	3
trusts	4
dump	-3
disgusting	-5
strange	-2
whore	-6
cruelest	-5
inhibitions	-2
faking	-4
doomsday	-5
frees	2
domination	0
murderess	-4
serene	4
criminal	-5
lamest	-3
wisenheimer	-2
serious	0
ruining	-2
horrid	-5
contagious	-3
sick	-5
ignorance	-3
destruction	-5
laughable	0
reach	0
hysteria	-4
intellectualizing	2
engaging	3
crash	-4
murder	-6
vexation	-4
freedom	6
explorations	0
guiltily	-2
assuring	3
true	4
kissed	3
lol	4
stunned	-1
commit	2
pretending	1
horrifyingly	-6
radiantly	3
unmotivated	-3
risk	-2
protest	-2
detained	-4
brutalized	-5
notorious	-4
gratification	3
friends	4
rage	-5
scold	-4
keening	-1
dumpy	-4
gorgeous	6
wickedly	-4
destroy	-5
crushed	-4
giggles	2
daring	3
phobia	-3
intense	0
save	4
harmless	2
disqualified	-4
joyride	2
grateful	4
negative	-5
entertain	3
rob	-5
calmness	4
disgust	-5
meaningful	3
angrily	-4
slavery	-7
hate	-5
wasted	-4
meriting	2
care	4
crying	-4
fantastic	5
cheerio	2
grace	4
splendidly	4
prejudice	-5
misread	-2
bloody	-4
foolishness	-4
defensive	0
weakness	-4
tout	-1
energetically	4
horrendous	-5
harmony	4
thanks	4
ludicrous	-3
harass	-4
haunted	-4
easily	3
slap	1
apathetic	-2
crime	-5
gloomier	-3
scary	-4
grievances	-3
promiscuous	0
prejudicial	-5
racist	-6
angry	-5
assassination	-5
virtuoso	4
unpleasant	-4
restriction	-2
strongest	4
richness	4
hardy	4
hysteria	-4
sincerely	4
pretty	4
peace	5
supremely	5
popular	4
hurtle	0
novel	3
misinterpreted	-3
tremble	-2
intelligent	4
crush	-1
disappointing	-4
celebrate	5
bloody	-4
devastated	-6
faggot	-6
stalling	-2
meh	0
dullness	-3
spiritless	-3
support	4
starve	-4
freedom	6
intellectual	5
disgusting	-5
popularity	4
pissing	-4
douchebag	-6
paranoia	-2
bitterly	-4
jokes	2
sickens	-4
offenses	-3
bitched	-5
trick	0
treat	4
sigh	0
warm	2
misunderstands	-3
moan	-1
exhausts	-2
wonderfully	5
profitability	2
grateful	4
entertaining	4
classy	4
easily	3
cry	-4
trivialities	-2
natural	3
beautiful	5
festival	4
controversial	-2
crappy	-5
vulnerably	-2
deprivation	-4
caring	4
forgotten	-2
depressives	-3
smartass	-4
blithe	2
heroine	5
barrier	-1
freewheelers	0
derails	-3
wars	-5
puked	-4
incapacitated	-4
alert	2
dissatisfaction	-4
breathtaking	4
kewl	3
brutal	-6
tensionless	1
sick	-5
maddening	-4
feudalism	-2
spark	2
killjoy	-4
recommends	2
punishment	-4
nasties	-4
sulking	-3
sulky	-2
dire	-4
unsettled	-3
beautifully	5
wow	5
yes	4
187	-6
craziest	0
pains	-4
madder	-2
best	6
attracting	4
admire	4
problems	-4
illegal	-5
share	2
defensive	0
greetings	4
certainly	3
killer	-6
smuggler	-4
drag	-2
bitching	-2
freaky	-3
destroy	-5
joke	2
kinder	4
screamers	-3
insanity	-5
bitchy	-5
thwarted	0
failed	-5
ignorance	-3
safe	4
skeptical	-3
suffering	-4
values	4
powerful	4
harmonizing	3
worthy	4
desire	4
importance	3
block	-4
self-confident	5
handsomeness	5
respectfulness	4
annoy	-4
tenderness	4
warmish	3
rigorous	-2
talent	4
pls	0
medal	4
surviving	2
reluctant	-2
shakiest	-2
plays	2
snafu	-5
panicked	-4
wonderful	5
comforts	4
thrilling	4
heh	-1
lone	-2
play	3
freakout	-4
carelessly	-2
detain	-4
terrorism	-6
gravest	-3
hugging	4
won	5
strengthen	3
wiser	2
hoping	4
drowned	-5
adorning	2
gorgeousness	5
lovers	5
panics	-4
attacks	-4
hell	-6
cruder	-4
brilliance	5
humorlessness	-3
bother	-3
lowering	-2
combats	-2
virtuoso	4
supremacy	0
hard	-1
wised	3
steal	-4
screaming	-3
respectively	3
gratifyingly	4
friendly	4
dumbs	-3
deprives	-4
hero	5
intelligibly	2
sweetie	4
disagreeing	-3
grossness	-4
grossness	-4
destructively	-5
cancels	-2
aggressively	-3
strength	4
resolving	3
awards	4
shrew	-2
accusation	-2
hater	-4
mofo	-5
mistake	-3
horrific	-6
fearsome	-4
leave	0
alarmed	-3
faultlessly	4
traumatize	-5
ludicrousness	-4
celebrated	5
conspiracy	-5
problematic	-4
helplessness	-4
dumbwaiter	0
thriller	1
partiers	1
kinder	4
goddam	-5
hurrah	5
unfortunately	-3
passions	4
disputed	-3
pardoned	2
supporters	4
lovers	5
dignifying	4
worthwhile	3
astounding	4
lousy	-5
rebel	-1
genial	4
beloved	5
joyfully	5
annoys	-4
repress	-3
popularity	4
clouded	0
romanticised	4
dignity	4
sentimentalized	2
stunning	3
warmly	4
viciousness	-5
jackasses	-5
created	2
violates	-5
disrespected	-4
vultures	-3
difficulty	-3
contemptible	-3
passively	-1
harm	-5
immobilized	-2
hopelessness	-6
sarcastically	-2
lowlife	-3
bully	-4
stop	-2
stressful	-5
banned	-4
itchy	-2
unprotected	-3
virtue	4
fooled	-3
bore	-2
temper	-4
neurotics	-1
xd	5
peaceniks	1
devil	-6
bitch	-5
ty	3
shamefully	-4
rotten	-5
devils	-5
awesome	6
evils	-5
tougher	1
weird	-1
dirt	-3
tenseness	-3
good	4
giddy	-1
jp	2
qt	4
thrillers	0
party	4
po	-5
entertainments	5
devotee	3
interrogated	-3
surefire	2
pleased	4
virulent	-5
rants	-3
comedies	4
insane	-4
good	4
obnoxious	-4
emptying	-1
suffering	-4
satisfying	4
risk	-2
misses	-2
lagging	-2
lagging	-2
petrified	-5
romance	5
sweetie	4
hurts	-4
impressions	2
escapes	1
disorganized	-2
pessimist	-3
sexy	5
doubt	-3
brutality	-6
wisecrack	0
daze	-1
lovable	6
gravel	-1
fabulous	5
pessimism	-3
prays	3
heaven	5
dignify	4
cutest	5
frantic	-4
horrific	-6
thrilling	4
complaining	-2
comfortably	4
murder	-6
obsolete	-2
crazy	-3
pray	3
horribly	-5
rigorously	-1
scarecrow	-2
jackass	-4
fair	3
scandal	-4
vindicated	4
numbed	-2
seriously	-1
resolute	2
secure	3
acceptably	3
devils	-5
remorseful	-2
dullards	-4
ugh	-4
charities	4
dumbness	-4
respectively	3
consents	2
excited	3
drunk	-3
energetic	4
enslave	-6
terrifies	-5
creatively	3
rejection	-5
tragedy	-6
immoral	-4
foolproof	3
encouragement	4
arrest	-3
fighters	0
beauty	5
jubilant	6
tough	-1
ruinous	-5
sadly	-4
agreed	2
fired	-5
insulting	-4
awful	-4
marvelous	5
satisfyingly	4
promote	3
incompetent	-4
cutie	3
adoringly	5
ecstasy	5
trivialising	-3
excuse	0
dearest	5
outraged	-5
wowsers	2
wowser	-2
true	4
discredited	-4
maniacally	-4
bargain	2
scam	-5
detention	-3
thrill	3
weeper	-4
winners	4
commended	4
disappointed	-4
defensively	-1
honest	5
warned	-2
devilishly	-3
betrayed	-6
award	5
lamentation	-3
triumphal	4
dumbfounded	-3
deception	-4
repulse	-5
goodness	4
flop	-3
desperate	-3
smart	4
frustrating	-4
flawlessly	2
grandeurs	4
delightful	5
no	-2
depress	-4
foolhardy	-3
blithe	2
disadvantage	-4
uncontrollably	-3
unprofessional	-5
playing	2
bargain	2
congrats	5
triumph	4
liberty	5
cutting	-1
creation	2
favoured	4
low	-2
repressed	-3
discouragement	-4
humiliation	-5
repulsed	-4
destructible	-3
unsuccessful	-3
devoting	4
startle	-3
angered	-5
ennui	-2
creation	2
haters	-4
unfocused	-4
divining	2
sincerest	4
flattery	1
pitying	-3
superb	6
hopeless	-4
weird	-1
dismal	-6
gossip	-1
sadness	-4
bereaved	-4
flunked	-4
interesting	4
axe	-1
pardon	3
straight	2
peace	5
doubter	-3
champions	5
grieves	-4
negative	-5
bastardizing	-5
envies	-2
egotist	-5
charms	4
ludicrous	-3
violence	-6
faith	4
triumphed	4
reassurance	3
brutalities	-5
cut	-2
lucky	4
eviction	-4
hesitancy	-2
warn	-1
retarded	-5
stupider	-5
heartbreaking	-4
doom	-4
fag	-4
disillusionment	-4
mope	-4
defective	-4
boost	4
averts	-1
murder	-6
crime	-5
debt	-3
creates	2
welcome	4
excellent	5
hero	5
frees	2
insane	-4
doomsday	-5
bliss	5
murderous	-6
maniac	-4
accident	-4
wrathful	-5
anti	-3
wrong	-4
stimulates	2
trite	-2
astounded	4
useless	-4
grey	0
sorrow	-5
damnation	-5
party	4
happiest	6
yes	4
sorry	0
loving	5
protect	3
laugh	5
cut	-2
petrified	-5
flirty	1
resolve	3
wilco	2
moping	-2
injury	-4
heroines	4
misinformed	-3
propaganda	-2
suspecting	-1
tricky	-1
creates	2
nervousness	-2
perfect	5
freebase	0
dreading	-5
blessedly	4
charms	4
flustered	-2
travesty	-5
urgent	2
dynamite	1
luck	4
assets	1
agonize	-5
straining	-3
peace	5
insult	-5
congratulate	4
abuse	-6
apologize	1
nuts	-3
contentious	-2
collapse	-4
progress	4
overjoyed	5
abusive	-6
uselessly	-3
traumatic	-5
stress	-4
desperately	-3
comedies	4
discounted	0
discouraging	-4
frightens	-4
kill	-6
cherishes	4
adorably	4
bullied	-6
mourns	-5
resented	-3
damage	-4
dumbbells	0
drunk	-3
winningly	5
fighter	1
suspect	-2
sins	-4
heartfelt	5
terrorised	-6
ass	-5
virtuous	5
champaign	0
champaign	0
hahaha	5
villainous	-4
divine	5
prick	-3
tenderfoot	0
devoted	4
dreading	-5
wp	2
angry	-5
fab	4
shocker	-1
scared	-4
suspecting	-1
entrusted	2
prejudices	-4
flirtatious	1
killer	-6
yeah	2
dreadfully	-5
elated	6
resenting	-2
nerd	-2
trembling	-3
lame	-4
intelligently	4
sceptics	-1
yes	4
molest	-4
avoidance	-4
interestingly	4
lying	-5
validated	2
marvels	4
silencing	-1
disappeared	-2
suicidal	-6
sweetheart	6
painlessly	2
brutal	-6
penalty	-4
comediennes	3
havoc	-5
hesitations	-2
funniness	4
dangerous	-4
intellectual	5
peril	-4
generous	5
welcome	4
heartbreak	-5
radiance	3
impressive	5
eery	-2
broken	-4
raptured	2
raptured	2
sorrowfully	-5
upset	-3
molestation	-4
painless	2
battles	-3
stammers	-2
loyalist	3
warships	-1
loyalists	2
conflicts	-3
truthfulness	4
loathes	-4
comforts	4
friends	4
chance	2
wow	5
tolerance	2
poor	-4
bitchiness	-5
eased	2
superior	5
disgusting	-5
astonished	3
resigning	-2
cheat	-4
anger	-5
dread	-4
mourn	-4
moan	-1
rudely	-4
screamed	-3
help	4
cleverly	5
favors	2
lags	-3
impersonal	-3
doomed	-6
accept	3
leave	0
